CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
C9121754,2,C9,10212022335,102,12,23,12,8,1,100,0,1,3,2,2,40,1,4,2,1,12,1,4,1,1,6,9,1,1
CD125580,2,CD,10212022150,102,12,21,11,8,1,112,0,1,2,2,2,50,1,1,2,2,17,2,6,1,1,3,5,1,1
CD125580,2,CD,10212022150,102,12,21,11,8,1,112,0,1,2,2,2,50,1,1,2,2,17,1,2,1,1,6,9,1,1
CD128475,2,CD,10212031840,102,12,18,10,7,2,112,0,2,3,2,2,50,1,1,2,4,16,1,3,1,4,3,11,1,1
CD128475,2,CD,10212031840,102,12,18,10,7,2,112,0,2,3,2,2,50,1,1,2,4,16,1,2,1,4,6,9,1,1
CD128475,2,CD,10212031840,102,12,18,10,7,2,112,0,2,3,2,2,50,1,1,2,4,16,1,2,4,3,8,20,3,1
CI132311,2,CI,10212031140,102,12,11,6,4,2,110,0,1,3,1,2,50,2,3,2,4,16,1,7,1,1,4,8,1,1
CI132311,2,CI,10212031140,102,12,11,6,4,2,110,0,1,3,1,2,50,2,3,2,4,16,2,5,1,1,6,9,1,1
CH114451,2,CH,10212031228,102,12,12,7,5,2,115,0,2,3,1,2,50,1,1,2,1,15,2,3,1,1,6,9,1,1
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,1,6,3,4,1,9,1,1
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,1,3,3,4,6,8,1,1
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,1,1,4,3,8,20,3,2
CF111383,2,CF,10212031855,102,12,18,10,7,2,116,0,2,3,2,2,50,4,4,2,4,11,2,5,1,1,6,9,1,1
C7151654,2,C7,10212021917,102,12,19,10,7,1,104,0,2,2,2,2,50,2,3,2,1,3,1,8,1,1,6,9,1,1
C7151654,2,C7,10212021917,102,12,19,10,7,1,104,0,2,2,2,2,50,2,3,2,1,3,2,4,4,3,8,20,3,1
CF111383,2,CF,10212031855,102,12,18,10,7,2,116,0,2,3,2,2,50,4,4,2,4,11,2,2,4,3,8,20,3,2
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,2,5,4,3,8,20,3,2
CC142649,2,CC,10211291430,102,11,14,8,5,5,111,0,2,3,1,2,50,1,1,2,4,17,1,6,1,1,3,6,1,1
C5131219,2,C5,10212010740,102,12,7,4,3,7,103,0,1,3,1,2,50,1,1,2,2,12,1,6,1,1,6,6,1,1
C5131219,2,C5,10212010740,102,12,7,4,3,7,103,0,1,3,1,2,50,1,1,2,2,12,1,6,2,1,6,9,1,1
C8144465,2,C8,10211291806,102,11,18,10,7,5,106,0,1,3,2,2,40,2,3,2,4,12,1,4,1,1,3,9,1,1
CA117411,2,CA,10211300001,102,11,0,1,1,6,100,0,2,3,2,2,50,1,1,2,1,15,2,3,1,1,6,9,1,1
CA117411,2,CA,10211300001,102,11,0,1,1,6,100,0,2,3,2,2,50,1,1,2,1,15,2,3,1,1,6,1,1,1
CD128739,2,CD,10212011225,102,12,12,7,5,7,112,0,1,3,1,2,60,1,1,2,4,16,1,5,1,1,3,6,1,1
C7150850,2,C7,10212011100,102,12,11,6,4,7,104,0,2,3,1,2,50,1,1,2,1,17,1,3,1,4,6,8,1,1
C7150850,2,C7,10212011100,102,12,11,6,4,7,104,0,2,3,1,2,50,1,1,2,1,17,1,7,1,4,6,9,1,1
CD128739,2,CD,10212011225,102,12,12,7,5,7,112,0,1,3,1,2,60,1,1,2,4,16,1,2,1,1,6,9,1,1
CD129760,2,CD,10211301140,102,11,11,6,4,6,112,0,1,3,1,2,40,1,1,2,3,15,2,4,3,4,7,9,3,1
CE115778,2,CE,10211291700,102,11,17,9,6,5,116,0,1,3,1,2,50,1,1,2,1,16,2,2,1,1,6,9,1,1
CH114444,2,CH,10211220603,102,11,6,4,3,5,115,0,1,3,1,2,50,2,4,2,4,17,1,7,1,1,6,7,1,1
CE115779,2,CE,10211301135,102,11,11,6,4,6,116,0,1,3,1,2,50,1,1,2,4,17,1,6,1,1,5,8,1,1
CE115779,2,CE,10211301135,102,11,11,6,4,6,116,0,1,3,1,2,50,1,1,2,4,17,1,3,1,1,6,9,1,1
CH114444,2,CH,10211220603,102,11,6,4,3,5,115,0,1,3,1,2,50,2,4,2,4,17,2,5,1,4,3,8,1,1
C5132166,2,C5,10212111150,102,12,11,6,4,3,103,0,1,2,1,2,50,1,1,2,2,17,2,3,1,4,6,9,1,1
C9121577,2,C9,10212110720,102,12,7,4,3,3,100,0,1,3,1,2,50,1,1,2,2,11,1,2,1,1,6,9,1,1
CG144187,2,CG,10212110846,102,12,8,5,3,3,114,0,1,3,1,2,40,2,3,2,4,16,1,4,1,1,3,6,1,1
CF111275,2,CF,10212110840,102,12,8,5,3,3,116,0,1,2,1,2,40,1,1,2,4,15,1,6,1,1,3,9,1,1
CG144187,2,CG,10212110846,102,12,8,5,3,3,114,0,1,3,1,2,40,2,3,2,4,16,2,4,1,1,6,9,1,1
C5132371,2,C5,10212111204,102,12,12,7,5,3,103,0,1,3,1,2,50,1,1,2,4,12,1,7,1,4,6,9,1,1
CE114509,2,CE,10212111248,102,12,12,7,5,3,116,0,1,2,1,2,50,2,4,2,4,14,2,8,1,1,6,9,2,1
C7151400,2,C7,10212031830,102,12,18,10,7,2,104,0,1,3,2,2,50,2,4,2,4,16,1,6,1,1,6,9,1,1
CI131104,2,CI,10212051326,102,12,13,7,5,4,110,0,1,3,1,2,50,1,1,2,2,16,2,6,1,1,3,5,1,1
CI131718,2,CI,10212020710,102,12,7,4,3,1,110,0,1,3,1,2,50,1,1,2,4,15,1,4,1,1,6,9,1,1
C7900485,2,C7,10205151648,102,5,16,9,6,3,104,0,1,3,1,2,50,1,1,2,1,15,1,3,1,1,6,9,1,1
C8143282,2,C8,10212051435,102,12,14,8,5,4,106,0,1,3,1,2,50,2,4,2,4,17,1,5,1,1,3,15,1,1
CG144694,2,CG,10212050900,102,12,9,5,4,4,114,0,1,3,1,2,50,1,4,2,2,17,1,5,3,4,3,21,4,2
CI131169,2,CI,10212051345,102,12,13,7,5,4,110,0,1,3,1,2,50,2,6,2,4,16,1,3,1,4,6,9,1,1
C9121672,2,C9,10212110950,102,12,9,5,4,3,100,0,2,2,1,2,50,1,1,2,1,16,1,3,1,1,6,9,1,1
CI131220,2,CI,10212042346,102,12,23,12,8,3,110,0,2,3,2,2,50,1,1,2,4,17,2,4,1,1,3,5,1,1
CG143578,2,CG,10212111250,102,12,12,7,5,3,114,0,1,3,1,2,50,1,1,2,2,3,1,5,1,1,4,5,1,1
CD126672,2,CD,10212111110,102,12,11,6,4,3,112,0,1,3,1,2,40,2,4,2,4,11,2,3,3,4,6,7,1,1
CD126672,2,CD,10212111110,102,12,11,6,4,3,112,0,1,3,1,2,40,2,4,2,4,11,1,7,3,4,3,9,1,1
C9121673,2,C9,10212111235,102,12,12,7,5,3,100,0,2,2,1,2,50,1,1,2,1,13,1,3,1,1,3,9,1,1
CG143824,2,CG,10212052002,102,12,20,11,7,4,114,0,1,2,2,2,50,2,4,2,4,16,2,3,1,1,6,11,1,1
C9121673,2,C9,10212111235,102,12,12,7,5,3,100,0,2,2,1,2,50,1,1,2,1,13,1,2,1,1,6,9,1,1
C8149958,2,C8,10212051627,102,12,16,9,6,4,106,0,1,3,1,2,40,1,1,2,3,15,1,6,1,1,4,9,1,1
C9121673,2,C9,10212111235,102,12,12,7,5,3,100,0,2,2,1,2,50,1,1,2,1,13,2,2,4,3,8,20,3,2
CA117430,2,CA,10212110710,102,12,7,4,3,3,100,0,1,3,1,2,50,1,1,2,1,15,2,6,1,1,7,9,3,1
CG144189,2,CG,10212111300,102,12,13,7,5,3,114,0,2,3,1,2,50,1,1,2,1,12,2,6,1,1,6,9,1,1
CG144189,2,CG,10212111300,102,12,13,7,5,3,114,0,2,3,1,2,50,1,1,2,1,12,2,4,1,1,6,1,1,1
CE114407,2,CE,10212111530,102,12,15,8,6,3,116,0,1,2,1,2,50,2,4,2,4,17,1,2,1,1,6,12,1,1
CI131598,2,CI,10212050952,102,12,9,5,4,4,110,0,1,3,1,2,50,1,1,2,1,11,1,4,3,4,5,5,1,1
CI132166,2,CI,10212100820,102,12,8,5,3,2,110,0,1,3,1,2,50,1,1,2,4,16,1,5,1,1,6,9,1,1
CI132166,2,CI,10212100820,102,12,8,5,3,2,110,0,1,3,1,2,50,1,1,2,4,16,1,3,1,1,6,6,1,1
CD125763,2,CD,10212111720,102,12,17,9,6,3,112,0,2,2,2,2,60,2,2,2,4,13,1,2,1,1,6,9,1,1
CD126979,2,CD,10212111700,102,12,17,9,6,3,112,0,2,3,1,2,50,1,1,2,1,13,1,5,1,1,6,14,1,1
CE115930,2,CE,10212111622,102,12,16,9,6,3,116,0,2,2,1,2,40,2,4,2,4,17,2,6,3,4,6,11,1,1
C6128451,2,C6,10212101146,102,12,11,6,4,2,108,0,1,3,1,2,50,1,1,2,1,17,1,3,1,1,6,9,1,1
CE115930,2,CE,10212111622,102,12,16,9,6,3,116,0,2,2,1,2,40,2,4,2,4,17,1,2,3,4,6,9,1,1
C8143260,2,C8,10212111300,102,12,13,7,5,3,106,0,1,2,1,2,50,1,1,2,4,17,2,3,1,1,3,6,1,1
C8148497,2,C8,10212121550,102,12,15,8,6,4,106,0,1,3,1,2,30,1,1,2,4,15,1,7,1,1,4,9,1,1
CA115205,2,CA,10212121750,102,12,17,9,6,4,100,0,1,3,2,2,50,1,1,2,1,12,2,5,1,1,6,5,1,1
CA115205,2,CA,10212121750,102,12,17,9,6,4,100,0,1,3,2,2,50,1,1,2,1,12,2,3,1,1,6,9,1,1
C6127416,2,C6,10212091015,102,12,10,6,4,1,108,0,1,3,1,2,50,1,1,2,2,3,2,9,4,3,8,20,3,2
C9106361,2,C9,10212120845,102,12,8,5,3,4,100,0,1,1,1,2,40,1,1,1,1,16,2,3,1,1,7,9,3,1
CG145049,2,CG,10212121750,102,12,17,9,6,4,114,0,1,3,2,2,50,1,1,2,1,9,1,2,1,1,6,9,1,1
C5131403,2,C5,10212121900,102,12,19,10,7,4,103,0,1,2,2,2,50,2,6,2,4,9,1,6,1,1,3,9,1,1
C5131403,2,C5,10212121900,102,12,19,10,7,4,103,0,1,2,2,2,50,2,6,2,4,9,1,4,4,3,8,20,3,2
CC142184,2,CC,10212121910,102,12,19,10,7,4,111,0,2,3,2,2,50,1,1,2,4,17,1,3,1,1,6,9,1,1
CF115811,2,CF,10212091630,102,12,16,9,6,1,116,0,1,2,1,2,50,1,1,2,1,16,1,1,1,1,6,9,2,1
CF115811,2,CF,10212091630,102,12,16,9,6,1,116,0,1,2,1,2,50,1,1,2,1,16,1,7,1,1,6,9,1,1
C9121828,2,C9,10212121320,102,12,13,7,5,4,100,0,2,3,1,2,50,1,1,2,1,12,2,3,4,3,8,20,3,2
C8144556,2,C8,10212121430,102,12,14,8,5,4,106,0,1,3,1,2,50,2,4,2,4,11,2,3,1,1,6,15,1,1
C8144556,2,C8,10212121430,102,12,14,8,5,4,106,0,1,3,1,2,50,2,4,2,4,11,1,3,1,1,6,9,1,1
C7152713,2,C7,10212181448,102,12,14,8,5,3,104,0,1,3,1,2,40,1,1,2,4,15,2,4,1,1,6,9,1,1
C7152713,2,C7,10212181448,102,12,14,8,5,3,104,0,1,3,1,2,40,1,1,2,4,15,2,5,1,1,3,9,1,1
C7151902,2,C7,10211291950,102,11,19,10,7,5,104,0,2,2,2,2,50,1,1,2,4,17,1,3,1,1,6,9,1,1
C7151826,2,C7,10212211410,102,12,14,8,5,6,104,0,1,1,1,2,40,2,4,1,4,12,1,7,1,1,5,6,1,1
CI132169,2,CI,10212132200,102,12,22,12,8,5,110,0,1,3,2,2,50,1,1,2,1,16,1,3,1,1,6,9,1,1
CB131698,2,CB,10212150002,102,12,0,1,1,7,105,0,1,1,2,2,50,1,1,1,4,16,1,4,3,4,3,11,1,1
CB131815,2,CB,10212241333,102,12,13,7,5,2,105,0,1,1,1,2,50,1,1,1,4,16,1,4,1,4,6,9,1,1
CD128689,2,CD,10212250840,102,12,8,5,3,3,112,0,1,1,1,2,50,1,1,1,4,17,1,6,1,1,5,9,1,1
C9106364,2,C9,10212232150,102,12,21,11,8,1,100,0,1,1,2,2,50,2,4,1,4,12,1,6,1,1,3,1,1,1
CG143679,2,CG,10212200640,102,12,6,4,3,5,114,0,1,2,1,2,40,1,1,2,2,3,2,5,1,1,3,5,1,1
C6128328,2,C6,10212211201,102,12,12,7,5,6,108,0,1,1,1,2,40,1,1,1,4,11,2,6,1,1,3,9,1,1
C8143624,2,C8,10212220615,102,12,6,4,3,7,106,0,1,1,1,2,50,1,1,1,1,3,1,8,4,3,8,20,3,1
C8143255,2,C8,10212171730,102,12,17,9,6,2,106,0,1,1,2,2,40,1,1,1,2,9,1,8,4,3,8,20,3,2
CI132289,2,CI,10212211805,102,12,18,10,7,6,110,0,1,1,1,2,50,1,1,1,1,3,1,5,1,1,5,5,1,2
CF111613,2,CF,10212261850,102,12,18,10,7,4,116,0,1,2,2,2,50,1,1,2,4,17,1,2,1,1,6,9,1,1
CI131607,2,CI,10212262036,102,12,20,11,7,4,110,0,2,2,2,2,50,2,4,2,1,13,2,2,1,4,6,9,1,1
CI131607,2,CI,10212262036,102,12,20,11,7,4,110,0,2,2,2,2,50,2,4,2,1,13,1,5,1,4,6,12,1,1
C7152825,2,C7,10212261955,102,12,19,10,7,4,104,0,1,2,2,2,50,2,4,2,4,12,2,4,1,1,6,9,1,1
C7152825,2,C7,10212261955,102,12,19,10,7,4,104,0,1,2,2,2,50,2,4,2,4,12,1,7,1,1,3,9,1,1
C9106011,2,C9,10212261825,102,12,18,10,7,4,100,0,1,2,2,2,50,1,1,1,1,12,2,6,1,1,6,9,1,1
CE114712,2,CE,10212270024,102,12,0,1,1,5,116,0,1,1,2,2,50,2,4,1,4,17,2,3,3,4,6,9,1,1
C5132672,2,C5,10212270120,102,12,1,1,1,5,103,0,1,1,2,2,50,1,1,1,1,12,1,3,3,4,6,9,1,1
CH114698,2,CH,10212270235,102,12,2,2,1,5,115,0,1,1,2,2,30,1,1,1,4,17,1,4,3,4,3,13,4,2
CH114698,2,CH,10212270235,102,12,2,2,1,5,115,0,1,1,2,2,30,1,1,1,4,17,1,3,3,4,3,13,4,2
C8145553,2,C8,10212251925,102,12,19,10,7,3,106,0,1,1,2,2,50,2,4,1,4,17,1,4,1,1,6,9,1,1
C8145553,2,C8,10212251925,102,12,19,10,7,3,106,0,1,1,2,2,50,2,4,1,4,17,1,4,1,1,3,14,1,1
C8143540,2,C8,10212252145,102,12,21,11,8,3,106,0,1,1,2,2,40,1,1,1,4,9,1,3,3,4,3,15,4,2
C7153234,2,C7,10212261745,102,12,17,9,6,4,104,0,2,2,2,2,50,1,1,2,3,15,2,6,1,1,6,9,1,1
C8145554,2,C8,10212261140,102,12,11,6,4,4,106,0,1,1,1,2,50,1,1,1,1,3,2,6,4,3,8,16,3,1
CG145123,2,CG,10212241905,102,12,19,10,7,2,114,0,1,1,2,2,50,4,2,1,4,13,1,4,1,1,3,14,1,1
CE115881,2,CE,10211270904,102,11,9,5,4,3,116,0,1,3,1,2,40,4,6,2,4,17,1,2,1,1,6,6,1,1
CB131816,2,CB,10212250725,102,12,7,4,3,3,105,0,1,1,1,2,30,1,1,1,1,3,1,6,1,1,3,6,1,1
CH114851,2,CH,10212251720,102,12,17,9,6,3,115,0,1,1,3,2,30,2,4,1,4,12,1,3,1,1,6,9,1,1
CI131722,2,CI,10212181600,102,12,16,9,6,3,110,0,1,2,1,2,40,1,1,2,4,17,1,4,1,1,3,6,1,1
CG145242,2,CG,10212261203,102,12,12,7,5,4,114,0,1,1,1,2,50,2,4,1,2,17,1,5,1,1,3,6,1,1
C8146498,2,C8,10212211200,102,12,12,7,5,6,106,0,1,1,1,2,40,1,1,1,4,8,1,7,4,3,8,17,3,1
CD128688,2,CD,10212250720,102,12,7,4,3,3,112,0,1,1,1,2,50,1,1,1,2,17,1,6,1,1,3,6,1,1
CG144563,2,CG,10212251210,102,12,12,7,5,3,114,0,1,1,1,2,40,1,1,1,4,12,2,8,2,1,7,5,3,1
CI131162,2,CI,10212101710,102,12,17,9,6,2,110,0,1,2,1,2,50,1,1,2,4,16,1,3,1,4,6,9,1,1
C6128244,2,C6,10212060752,102,12,7,4,3,5,108,0,1,3,1,2,50,2,4,2,2,12,1,4,1,1,3,9,1,1
C8144467,2,C8,10211301055,102,11,10,6,4,6,106,0,1,3,1,2,40,2,4,2,4,3,1,4,1,1,5,9,1,1
CA115528,2,CA,10212052318,102,12,23,12,8,4,100,0,3,3,2,2,40,4,5,2,4,13,1,3,1,1,6,9,1,1
CF111503,2,CF,10212061025,102,12,10,6,4,5,116,0,1,3,1,2,50,1,1,2,4,17,1,5,1,1,3,6,1,1
CA115528,2,CA,10212052318,102,12,23,12,8,4,100,0,3,3,2,2,40,4,5,2,4,13,2,4,1,1,6,9,1,1
CA115529,2,CA,10212060047,102,12,0,1,1,5,100,0,2,3,2,2,50,1,1,2,1,17,1,4,1,1,2,5,1,1
CI131220,2,CI,10212042346,102,12,23,12,8,3,110,0,2,3,2,2,50,1,1,2,4,17,1,4,1,1,6,9,1,1
CB131288,2,CB,10212032235,102,12,22,12,8,2,105,0,2,3,2,2,50,1,1,2,1,16,2,3,1,1,6,6,1,1
CI131220,2,CI,10212042346,102,12,23,12,8,3,110,0,2,3,2,2,50,1,1,2,4,17,2,3,4,3,8,20,3,2
CB131288,2,CB,10212032235,102,12,22,12,8,2,105,0,2,3,2,2,50,1,1,2,1,16,1,3,1,1,7,9,3,1
C8146109,2,C8,10210250935,102,10,9,5,4,5,106,0,2,3,1,2,50,2,4,2,4,12,2,2,1,1,6,9,1,1
CI131984,2,CI,10212041403,102,12,14,8,5,3,110,0,2,3,1,2,40,1,1,2,4,16,1,6,1,1,6,5,1,1
C9121115,2,C9,10212060841,102,12,8,5,3,5,100,0,1,3,1,2,50,1,1,2,2,12,1,5,1,1,6,9,1,1
CC135116,2,CC,10212060745,102,12,7,4,3,5,111,0,1,3,1,2,50,1,1,2,4,12,1,7,1,1,3,9,1,1
CD128121,2,CD,10212011635,102,12,16,9,6,7,112,0,1,3,1,2,50,1,1,2,4,12,1,5,3,4,3,9,1,1
C7150836,2,C7,10212060445,102,12,4,3,2,5,104,0,1,3,2,2,50,1,1,2,1,17,1,6,3,4,4,9,1,1
CC135116,2,CC,10212060745,102,12,7,4,3,5,111,0,1,3,1,2,50,1,1,2,4,12,1,6,1,1,3,9,1,1
CE114445,2,CE,10212012320,102,12,23,12,8,7,116,0,2,3,2,2,50,1,1,2,2,12,1,4,1,1,3,6,1,1
C7150836,2,C7,10212060445,102,12,4,3,2,5,104,0,1,3,2,2,50,1,1,2,1,17,1,7,3,4,6,13,1,1
C8143354,2,C8,10212061313,102,12,13,7,5,5,106,0,1,3,1,2,50,1,1,2,2,17,1,6,1,1,6,9,1,1
CD128958,2,CD,10212061242,102,12,12,7,5,5,112,0,1,3,1,2,50,1,1,2,4,17,1,3,3,4,6,9,1,1
CH114680,2,CH,10211291958,102,11,19,10,7,5,115,0,1,3,2,2,50,1,1,2,2,17,1,3,1,1,6,9,1,1
C6129543,2,C6,10211291444,102,11,14,8,5,5,108,0,2,3,1,2,50,1,1,2,1,16,1,3,1,1,6,9,1,1
CD125759,2,CD,10212061420,102,12,14,8,5,5,112,0,1,3,1,2,50,1,1,2,1,12,2,5,1,1,6,9,1,1
CC142323,2,CC,10212031845,102,12,18,10,7,2,111,0,1,3,1,2,50,2,4,2,4,17,1,4,1,1,3,7,1,1
CA114424,2,CA,10212061005,102,12,10,6,4,5,100,0,1,3,1,2,50,1,1,2,2,16,1,7,3,4,6,5,1,1
CI131959,2,CI,10212061305,102,12,13,7,5,5,110,0,1,3,1,2,30,1,1,2,4,16,1,6,1,1,4,9,1,1
CI131959,2,CI,10212061305,102,12,13,7,5,5,110,0,1,3,1,2,30,1,1,2,4,16,1,4,1,1,6,9,1,1
C7152505,2,C7,10212061430,102,12,14,8,5,5,104,0,1,3,1,2,50,1,1,2,2,17,1,3,1,1,6,9,1,1
CA114424,2,CA,10212061005,102,12,10,6,4,5,100,0,1,3,1,2,50,1,1,2,2,16,1,4,3,4,5,9,1,1
CI131958,2,CI,10212061025,102,12,10,6,4,5,110,0,1,3,1,2,70,2,2,2,4,12,1,4,1,1,5,7,1,1
CI131958,2,CI,10212061025,102,12,10,6,4,5,110,0,1,3,1,2,70,2,2,2,4,12,1,6,1,1,4,9,1,1
C9121705,2,C9,10211250930,102,11,9,5,4,1,100,0,1,1,1,2,50,1,1,1,2,3,2,5,4,3,8,20,3,1
CI131285,2,CI,10211281734,102,11,17,9,6,4,110,0,1,3,2,2,50,2,2,2,4,12,1,7,1,1,3,9,1,1
C9121717,2,C9,10212021230,102,12,12,7,5,1,100,0,2,3,1,2,50,1,1,2,3,12,1,7,1,1,6,9,1,1
C9121717,2,C9,10212021230,102,12,12,7,5,1,100,0,2,3,1,2,50,1,1,2,3,12,2,6,4,3,8,20,3,1
C9121459,2,C9,10212020740,102,12,7,4,3,1,100,0,2,3,1,2,50,1,1,2,1,12,2,5,1,1,6,9,1,1
C8149451,2,C8,10211092045,102,11,20,11,7,6,106,0,1,3,2,2,50,1,1,2,2,12,1,7,1,1,4,8,1,1
C9121460,2,C9,10212020945,102,12,9,5,4,1,100,0,1,3,1,2,50,1,1,2,1,12,1,6,1,1,3,6,1,1
C5132104,2,C5,10211260700,102,11,7,4,3,2,103,0,1,3,1,2,50,2,4,2,4,16,2,4,1,1,3,11,1,1
C9121460,2,C9,10212020945,102,12,9,5,4,1,100,0,1,3,1,2,50,1,1,2,1,12,1,3,1,1,9,9,1,1
CF110850,2,CF,10211021020,102,11,10,6,4,6,116,0,3,3,1,2,50,1,1,2,2,3,1,1,4,3,8,20,3,2
CC142724,2,CC,10211281650,102,11,16,9,6,4,111,0,2,3,1,2,50,1,1,2,4,3,1,5,1,1,6,9,1,1
CI131091,2,CI,10211281631,102,11,16,9,6,4,110,0,1,3,1,2,50,2,4,2,4,17,1,6,1,1,4,11,1,1
CC140834,2,CC,10210312335,102,10,23,12,8,4,111,0,1,3,2,2,50,1,1,2,4,17,2,3,1,1,6,9,1,1
C9121149,2,C9,10212020600,102,12,6,4,3,1,100,0,1,2,2,2,50,1,1,2,1,13,1,4,1,1,6,9,1,1
C9121461,2,C9,10212021220,102,12,12,7,5,1,100,0,1,3,1,2,50,2,4,2,1,12,1,3,1,1,6,9,1,1
C6129881,2,C6,10212021440,102,12,14,8,5,1,108,0,1,3,1,2,40,2,4,2,4,3,1,3,1,1,6,9,1,1
CD128456,2,CD,10212010755,102,12,7,4,3,7,112,0,1,3,1,2,50,1,1,2,3,16,1,7,3,4,3,1,1,1
CI131778,2,CI,10212031030,102,12,10,6,4,2,110,0,1,3,1,2,40,1,1,2,4,16,2,3,1,1,6,9,1,1
CI131778,2,CI,10212031030,102,12,10,6,4,2,110,0,1,3,1,2,40,1,1,2,4,16,1,5,1,1,6,9,1,1
CD128340,2,CD,10212022154,102,12,21,11,8,1,112,0,2,3,2,2,40,1,1,2,3,16,1,2,3,4,6,5,1,1
CD128340,2,CD,10212022154,102,12,21,11,8,1,112,0,2,3,2,2,40,1,1,2,3,16,2,4,4,3,8,20,3,2
CC142726,2,CC,10211291224,102,11,12,7,5,5,111,0,1,3,1,2,50,1,1,2,4,16,1,5,1,1,4,9,1,1
CH114542,2,CH,10211301827,102,11,18,10,7,6,115,0,1,2,2,2,40,1,1,2,4,16,1,4,1,1,3,11,1,1
C7150832,2,C7,10212021740,102,12,17,9,6,1,104,0,2,3,1,2,40,1,1,2,1,17,2,4,1,4,6,1,1,1
C7150832,2,C7,10212021740,102,12,17,9,6,1,104,0,2,3,1,2,40,1,1,2,1,17,1,6,1,4,6,1,1,1
CD125681,2,CD,10211201630,102,11,16,9,6,3,112,0,1,3,1,2,60,1,1,2,1,16,1,3,1,4,3,5,1,1
CC142549,2,CC,10211281120,102,11,11,6,4,4,111,0,2,1,1,2,50,1,1,1,4,17,2,6,1,1,3,6,1,1
CI131150,2,CI,10211180930,102,11,9,5,4,1,110,0,2,3,1,2,50,1,1,2,1,17,1,8,1,4,4,11,1,1
C9121149,2,C9,10212020600,102,12,6,4,3,1,100,0,1,2,2,2,50,1,1,2,1,13,2,8,4,3,8,20,3,2
C5131143,2,C5,10212021210,102,12,12,7,5,1,103,0,1,3,1,2,40,2,4,2,4,14,1,4,3,4,3,2,1,1
C5131143,2,C5,10212021210,102,12,12,7,5,1,103,0,1,3,1,2,40,2,4,2,4,14,1,5,3,4,6,9,1,1
CD128334,2,CD,10211260642,102,11,6,4,3,2,112,0,1,3,1,2,50,1,1,2,1,16,1,3,3,4,3,6,1,1
CD125691,2,CD,10212021035,102,12,10,6,4,1,112,0,2,3,1,2,40,1,1,2,4,16,1,5,1,4,3,9,1,1
C8143444,2,C8,10211011248,102,11,12,7,5,5,106,0,1,3,1,2,50,1,1,2,4,17,1,7,1,1,3,9,1,1
CD125691,2,CD,10212021035,102,12,10,6,4,1,112,0,2,3,1,2,40,1,1,2,4,16,2,3,1,4,6,9,1,1
CD125691,2,CD,10212021035,102,12,10,6,4,1,112,0,2,3,1,2,40,1,1,2,4,16,2,3,4,3,8,20,3,2
CG144793,2,CG,10212011733,102,12,17,9,6,7,114,0,1,3,1,2,40,1,1,2,4,15,1,4,1,1,3,9,1,1
CC141683,2,CC,10211261503,102,11,15,8,6,2,111,0,1,2,1,2,40,1,1,2,3,16,1,5,1,1,3,6,1,1
CI130802,2,CI,10211011136,102,11,11,6,4,5,110,0,1,3,1,2,50,2,2,2,4,13,2,5,1,1,3,9,1,1
CF111416,2,CF,10211282200,102,11,22,12,8,4,116,0,2,2,2,2,50,2,4,2,4,17,1,2,3,4,6,9,2,1
C8147918,2,C8,10210062014,102,10,20,11,7,7,106,0,2,1,3,2,40,1,4,1,4,2,1,6,4,3,8,20,3,2
C8148898,2,C8,10211072330,102,11,23,12,8,4,106,0,1,3,2,2,50,1,1,2,4,15,1,3,1,1,6,9,1,1
CC142728,2,CC,10211292019,102,11,20,11,7,5,111,0,1,3,2,2,50,1,1,2,4,3,1,6,4,3,8,20,3,1
CF111410,2,CF,10211231820,102,11,18,10,7,6,116,0,1,2,2,2,50,2,2,2,4,17,2,6,3,4,6,5,1,1
CD126710,2,CD,10211031000,102,11,10,6,4,7,112,0,1,2,1,2,50,1,1,2,1,12,1,6,3,4,4,6,4,1
CE114526,2,CE,10211251630,102,11,16,9,6,1,116,0,1,2,1,2,50,1,1,2,4,17,1,5,1,1,6,9,1,1
CB131133,2,CB,10211281638,102,11,16,9,6,4,105,0,1,3,1,2,50,1,1,2,1,17,1,6,1,1,4,5,1,1
C5131490,2,C5,10211200801,102,11,8,5,3,3,103,0,2,3,1,2,50,1,4,2,1,11,1,3,1,1,6,9,1,1
C5131490,2,C5,10211200801,102,11,8,5,3,3,103,0,2,3,1,2,50,1,4,2,1,11,1,6,1,1,6,9,1,1
C7151389,2,C7,10211272010,102,11,20,11,7,3,104,0,1,1,2,2,40,2,4,1,4,11,2,3,1,1,3,9,1,1
CD128296,2,CD,10211041938,102,11,19,10,7,1,112,0,1,3,2,2,50,1,1,2,1,3,1,6,1,1,4,5,1,1
